Date,Temperature (°C),Rainfall (mm),Humidity (%),Dengue_Cases
2010-06-18,27.3,127.84,67.27,16
2010-06-19,27.89,126.47,66.16,19
2010-06-20,25.45,102.06,60.25,12
2010-06-21,28.24,79.38,69.25,14
2010-06-22,24.93,124.28,57.1,12
2010-06-23,28.08,108.79,62.78,12
2010-06-24,27.72,104.15,55.82,13
2010-06-25,24.87,113.29,64.75,15
2010-06-26,26.75,76.38,62.09,11
2010-06-27,23.49,144.55,58.73,16
2010-06-28,26.03,104.07,65.0,16
2010-06-29,27.59,118.01,53.09,13
2010-06-30,26.41,104.51,64.98,14
2010-07-01,26.12,88.13,57.06,14
2010-07-02,26.51,102.68,59.13,13
2010-07-03,23.69,106.8,61.74,13
2010-07-04,26.52,110.65,59.74,17
2010-07-05,28.15,90.81,47.24,10
2010-07-06,28.27,99.88,55.55,12
2010-07-07,25.87,110.91,56.21,14
2010-07-08,25.27,85.01,56.78,13
2010-07-09,23.58,88.69,55.63,14
2010-07-10,28.65,101.1,55.62,20
2010-07-11,22.57,93.32,61.96,14
2010-07-12,21.35,95.3,49.21,13
2010-07-13,24.77,103.96,58.17,14
2010-07-14,23.75,113.07,68.32,19
2010-07-15,22.5,70.18,45.48,12
2010-07-16,24.22,54.43,50.25,13
2010-07-17,23.57,85.72,59.38,12
2010-07-18,25.9,95.01,50.43,14
2010-07-19,21.68,83.6,56.49,11
2010-07-20,25.08,77.95,57.72,13
2010-07-21,24.23,81.63,50.23,15
2010-07-22,22.85,73.54,61.29,14
2010-07-23,24.22,85.72,41.81,16
2010-07-24,22.59,105.58,48.09,13
2010-07-25,18.04,88.32,46.24,14
2010-07-26,21.38,77.44,50.32,11
2010-07-27,22.08,79.27,54.27,11
2010-07-28,25.4,76.68,51.69,13
2010-07-29,23.08,71.9,45.08,12
2010-07-30,23.71,70.8,58.98,15
2010-07-31,23.51,89.75,45.24,11
2010-08-01,24.35,67.79,42.47,11
2010-08-02,23.56,73.77,50.39,14
2010-08-03,22.2,33.9,46.11,9
2010-08-04,24.52,62.68,57.15,9
2010-08-05,23.96,80.47,39.79,13
2010-08-06,22.17,92.8,52.8,13
2010-08-07,21.56,75.6,40.6,14
2010-08-08,23.59,98.46,51.44,12
2010-08-09,21.55,74.7,47.5,15
2010-08-10,23.22,56.2,46.88,11
2010-08-11,23.48,60.94,48.94,9
2010-08-12,20.31,55.33,52.8,15
2010-08-13,22.71,108.54,44.03,17
2010-08-14,21.28,81.35,38.36,15
2010-08-15,20.84,73.56,37.62,11
2010-08-16,19.7,75.87,50.25,12
2010-08-17,22.22,73.46,47.35,12
2010-08-18,22.15,69.61,41.42,15
2010-08-19,19.69,68.11,38.11,10
2010-08-20,20.29,68.44,52.93,14
2010-08-21,20.64,50.7,48.29,10
2010-08-22,19.77,74.03,43.09,12
2010-08-23,23.26,73.55,44.63,11
2010-08-24,22.07,34.73,49.74,17
2010-08-25,22.93,110.62,40.24,15
2010-08-26,22.04,65.6,40.37,12
2010-08-27,18.33,38.4,42.55,11
2010-08-28,20.24,71.21,42.55,15
2010-08-29,18.4,98.8,41.93,14
2010-08-30,22.0,37.25,41.04,12
2010-08-31,19.66,63.95,40.57,13
2010-09-01,20.09,57.6,42.78,11
2010-09-02,18.57,89.67,40.51,13
2010-09-03,23.53,72.35,40.84,11
2010-09-04,21.42,34.26,37.21,9
2010-09-05,22.15,46.39,38.07,12
2010-09-06,19.47,15.31,43.24,14
2010-09-07,19.71,78.16,46.63,11
2010-09-08,17.43,43.14,38.07,10
2010-09-09,21.49,45.62,38.93,10
2010-09-10,20.75,48.23,41.06,13
2010-09-11,20.14,48.39,32.34,10
2010-09-12,19.43,43.15,40.04,11
2010-09-13,17.92,33.1,44.41,8
2010-09-14,20.96,48.14,34.84,11
2010-09-15,20.86,33.19,35.7,9
2010-09-16,18.48,23.3,43.12,9
2010-09-17,19.46,56.33,38.49,10
2010-09-18,19.62,67.15,45.47,11
2010-09-19,19.41,48.7,38.03,13
2010-09-20,18.62,72.15,30.0,12
2010-09-21,20.25,32.23,46.32,9
2010-09-22,20.49,0.0,46.25,8
2010-09-23,17.24,43.45,46.85,10
2010-09-24,19.1,79.44,34.34,16
2010-09-25,20.14,45.02,42.86,12
2010-09-26,18.69,69.46,33.65,11
2010-09-27,19.89,38.43,39.02,12
2010-09-28,20.5,33.64,52.53,11
2010-09-29,22.18,53.13,41.47,8
2010-09-30,20.54,35.06,41.29,7
2010-10-01,20.3,37.95,43.04,11
2010-10-02,21.68,60.46,34.56,10
2010-10-03,18.42,32.32,43.05,11
2010-10-04,16.04,54.39,37.39,9
2010-10-05,18.12,21.52,33.06,12
2010-10-06,20.24,63.75,45.65,13
2010-10-07,19.82,39.7,44.9,10
2010-10-08,20.93,11.01,42.44,13
2010-10-09,22.91,16.67,42.43,10
2010-10-10,22.13,27.31,49.29,9
2010-10-11,19.78,21.33,44.32,9
2010-10-12,20.13,79.8,37.62,15
2010-10-13,19.37,68.5,35.79,18
2010-10-14,20.28,73.76,38.65,15
2010-10-15,20.65,19.89,46.3,10
2010-10-16,18.75,37.95,34.63,11
2010-10-17,19.67,32.44,42.81,11
2010-10-18,16.85,49.65,46.86,10
2010-10-19,20.45,63.54,43.77,11
2010-10-20,18.76,34.56,41.32,8
2010-10-21,16.46,26.18,38.32,13
2010-10-22,19.94,39.2,42.35,8
2010-10-23,21.68,34.16,34.71,13
2010-10-24,23.58,62.26,36.91,13
2010-10-25,21.24,70.86,45.72,10
2010-10-26,20.05,20.02,41.32,9
2010-10-27,19.58,58.68,39.57,11
2010-10-28,19.34,23.13,40.31,10
2010-10-29,20.64,50.69,45.83,15
2010-10-30,19.32,47.01,38.15,10
2010-10-31,21.07,62.79,43.51,10
2010-11-01,19.75,62.79,42.77,12
2010-11-02,21.64,68.77,40.59,12
2010-11-03,22.09,98.17,48.5,14
2010-11-04,20.13,62.44,48.04,16
2010-11-05,21.13,69.59,43.41,13
2010-11-06,21.18,93.41,41.26,14
2010-11-07,21.3,66.14,40.78,11
2010-11-08,21.96,81.18,38.3,12
2010-11-09,23.23,62.86,37.53,11
2010-11-10,23.15,51.91,51.63,13
2010-11-11,20.41,43.69,43.19,11
2010-11-12,20.48,60.81,40.69,14
2010-11-13,20.55,49.84,49.06,12
2010-11-14,20.05,57.27,43.04,11
2010-11-15,20.15,48.36,36.54,13
2010-11-16,19.35,68.6,48.95,11
2010-11-17,23.92,56.48,40.07,11
2010-11-18,19.72,55.66,48.54,13
2010-11-19,22.41,53.26,40.54,11
2010-11-20,20.04,51.11,42.89,10
2010-11-21,23.56,68.9,35.66,11
2010-11-22,21.66,54.59,53.49,11
2010-11-23,19.72,50.18,46.64,12
2010-11-24,21.6,74.57,50.75,14
2010-11-25,21.21,74.15,53.73,12
2010-11-26,20.55,91.02,41.07,15
2010-11-27,22.29,77.93,51.3,12
2010-11-28,23.08,58.8,47.97,11
2010-11-29,25.18,80.7,49.26,15
2010-11-30,19.35,63.53,48.1,11
2010-12-01,20.52,99.57,43.71,15
2010-12-02,19.6,68.36,53.74,15
2010-12-03,22.74,93.17,47.02,16
2010-12-04,24.02,75.43,51.61,14
2010-12-05,21.53,43.66,56.7,11
2010-12-06,23.89,89.49,50.45,12
2010-12-07,23.22,97.64,57.53,13
2010-12-08,22.96,90.28,50.71,18
2010-12-09,21.05,67.63,50.41,10
2010-12-10,22.01,92.68,48.36,15
2010-12-11,25.94,99.98,57.09,15
2010-12-12,22.9,90.28,47.92,11
2010-12-13,20.48,67.39,55.31,11
2010-12-14,24.32,67.71,51.49,10
2010-12-15,23.72,112.99,54.37,14
2010-12-16,24.7,57.75,46.65,11
2010-12-17,22.56,79.77,58.52,12
2010-12-18,23.39,104.31,43.66,12
2010-12-19,23.65,99.61,52.45,17
2010-12-20,24.5,111.71,63.31,19
2010-12-21,26.88,58.64,50.79,11
2010-12-22,27.08,115.13,49.58,16
2010-12-23,26.0,88.92,61.71,16
2010-12-24,25.08,104.09,54.48,13
2010-12-25,23.0,74.55,58.07,13
2010-12-26,25.91,100.81,55.97,13
2010-12-27,24.92,48.32,58.69,12
2010-12-28,25.41,127.77,51.87,15
2010-12-29,24.32,116.07,54.7,15
2010-12-30,24.99,109.12,59.52,13
2010-12-31,25.45,105.78,58.17,17
2011-01-01,24.93,86.18,60.45,13
2011-01-02,24.49,75.64,61.88,13
2011-01-03,22.84,92.88,59.48,12
2011-01-04,26.21,89.57,62.16,15
2011-01-05,27.52,139.03,50.61,14
2011-01-06,25.78,107.21,68.76,14
2011-01-07,26.87,57.42,57.44,13
2011-01-08,25.29,118.43,65.31,15
2011-01-09,25.27,119.73,65.52,18
2011-01-10,24.28,122.87,58.11,15
2011-01-11,25.54,119.44,61.66,14
2011-01-12,25.69,107.71,58.34,14
2011-01-13,28.19,135.07,62.03,15
2011-01-14,25.08,124.41,59.27,13
2011-01-15,25.22,107.0,58.75,16
2011-01-16,26.97,101.46,73.96,14
2011-01-17,25.49,104.16,64.8,13
2011-01-18,28.8,102.43,63.31,13
2011-01-19,29.15,121.86,68.27,14
2011-01-20,27.93,126.45,67.07,16
2011-01-21,27.61,94.36,60.99,14
2011-01-22,28.56,76.39,67.88,14
2011-01-23,27.94,105.68,65.31,16
2011-01-24,26.75,109.39,65.79,15
2011-01-25,28.05,127.79,70.42,17
2011-01-26,25.06,136.08,68.36,17
2011-01-27,24.25,133.01,75.09,17
2011-01-28,28.02,119.8,69.93,17
2011-01-29,28.07,129.27,68.28,15
2011-01-30,26.82,158.2,65.66,17
2011-01-31,26.69,109.06,63.98,20
2011-02-01,26.76,141.9,76.16,18
2011-02-02,30.22,151.12,69.9,20
2011-02-03,27.6,111.52,74.14,17
2011-02-04,28.63,92.18,68.14,15
2011-02-05,29.48,116.67,73.24,15
2011-02-06,29.23,144.99,82.91,16
2011-02-07,27.61,149.48,74.85,18
2011-02-08,26.73,108.87,74.83,15
2011-02-09,25.13,127.61,73.01,19
2011-02-10,27.71,108.02,75.52,19
2011-02-11,30.21,115.37,78.44,17
2011-02-12,26.59,142.12,70.09,17
2011-02-13,26.74,158.43,74.09,16
2011-02-14,28.49,135.5,84.04,15
2011-02-15,27.67,114.67,86.38,15
2011-02-16,26.66,169.97,82.68,17
2011-02-17,27.35,142.14,68.04,18
2011-02-18,27.84,148.61,76.52,18
2011-02-19,27.96,161.24,68.52,16
2011-02-20,26.58,126.72,70.91,15
2011-02-21,30.31,133.02,77.51,18
2011-02-22,29.89,166.97,83.13,19
2011-02-23,29.05,127.46,67.77,14
2011-02-24,29.45,110.7,82.28,16
2011-02-25,28.57,125.08,74.32,18
2011-02-26,30.05,151.31,79.23,20
2011-02-27,30.24,122.11,79.23,17
2011-02-28,29.82,170.35,70.99,17
2011-03-01,26.39,143.5,76.42,17
2011-03-02,30.61,140.82,74.83,16
2011-03-03,30.93,172.77,67.51,17
2011-03-04,28.6,134.58,84.86,19
2011-03-05,31.34,148.9,77.84,16
2011-03-06,28.23,178.71,81.64,20
2011-03-07,29.38,198.07,76.13,19
2011-03-08,28.93,182.54,84.03,18
2011-03-09,25.87,119.3,71.76,14
2011-03-10,27.04,160.44,75.66,19
2011-03-11,30.42,131.36,85.59,18
2011-03-12,32.48,190.67,81.22,17
2011-03-13,26.79,202.88,74.62,18
2011-03-14,28.82,149.69,80.38,18
2011-03-15,31.79,149.82,74.11,21
2011-03-16,30.09,146.83,72.3,17
2011-03-17,30.47,94.44,85.57,14
2011-03-18,28.43,145.71,80.95,21
2011-03-19,29.3,136.92,77.29,16
2011-03-20,29.79,154.98,80.21,19
2011-03-21,30.99,134.45,76.96,15
2011-03-22,28.57,178.76,71.91,19
2011-03-23,32.3,154.17,78.38,19
2011-03-24,33.28,143.15,74.03,19
2011-03-25,31.54,148.48,86.05,19
2011-03-26,28.41,151.7,87.47,17
2011-03-27,30.75,174.0,81.27,19
2011-03-28,28.73,150.88,81.84,15
2011-03-29,30.65,155.37,86.35,17
2011-03-30,29.91,140.5,76.76,16
2011-03-31,30.48,175.67,72.07,17
2011-04-01,27.13,150.92,83.73,15
2011-04-02,28.34,153.36,82.24,18
2011-04-03,30.38,156.49,79.61,16
2011-04-04,30.45,144.19,71.22,22
2011-04-05,31.58,134.59,77.74,16
2011-04-06,31.69,153.6,78.17,21
2011-04-07,32.0,145.58,80.26,16
2011-04-08,29.87,135.89,75.2,17
2011-04-09,28.25,169.88,84.31,22
2011-04-10,28.23,169.79,79.35,16
2011-04-11,32.1,144.98,80.55,18
2011-04-12,29.65,151.86,80.26,19
2011-04-13,29.76,112.41,78.67,13
2011-04-14,30.9,140.97,76.39,15
2011-04-15,29.55,192.43,78.6,19
2011-04-16,29.5,105.07,88.28,15
2011-04-17,29.49,144.1,80.45,15
2011-04-18,29.36,135.81,83.83,15
2011-04-19,31.1,152.32,84.67,19
2011-04-20,28.64,131.13,70.6,13
2011-04-21,28.48,137.56,78.04,16
2011-04-22,28.32,149.89,80.71,18
2011-04-23,29.28,180.33,80.51,24
2011-04-24,30.93,157.78,76.21,18
2011-04-25,31.75,171.77,87.26,21
2011-04-26,28.66,146.64,79.87,15
2011-04-27,28.19,139.32,83.8,17
2011-04-28,27.41,157.59,75.91,19
2011-04-29,32.37,157.01,80.19,18
2011-04-30,28.32,136.38,88.84,15
2011-05-01,28.42,163.56,72.52,16
2011-05-02,30.11,140.37,71.93,15
2011-05-03,31.7,159.37,77.0,16
2011-05-04,28.27,149.38,80.53,16
2011-05-05,25.11,108.76,76.28,15
2011-05-06,29.07,126.62,71.96,14
2011-05-07,28.32,151.21,76.85,17
2011-05-08,29.37,164.47,75.58,17
2011-05-09,29.5,169.81,79.34,19
2011-05-10,27.77,142.89,75.74,20
2011-05-11,28.44,102.41,72.11,12
2011-05-12,28.71,147.58,71.13,15
2011-05-13,29.01,146.41,83.56,18
2011-05-14,30.99,104.51,80.2,19
2011-05-15,27.65,132.69,68.2,18
2011-05-16,27.59,113.98,75.37,17
2011-05-17,26.73,151.21,81.31,17
2011-05-18,28.33,151.15,83.45,19
2011-05-19,30.13,109.13,75.98,17
2011-05-20,27.83,141.76,71.76,19
2011-05-21,28.56,140.1,80.65,16
2011-05-22,29.48,141.63,68.14,17
2011-05-23,29.35,113.11,64.64,13
2011-05-24,28.62,125.57,70.52,15
2011-05-25,27.59,149.71,72.28,21
2011-05-26,26.46,151.51,67.72,16
2011-05-27,25.88,134.56,72.26,16
2011-05-28,27.52,132.18,81.6,17
2011-05-29,28.27,147.36,71.11,16
2011-05-30,30.98,133.16,63.68,16
2011-05-31,26.96,148.06,69.24,17
2011-06-01,27.67,167.35,68.85,19
2011-06-02,28.7,89.72,65.65,15
2011-06-03,28.17,126.12,59.48,17
2011-06-04,25.45,100.59,63.89,13
2011-06-05,26.56,155.45,60.51,17
2011-06-06,24.72,103.67,71.04,17
2011-06-07,25.42,121.08,76.1,17
2011-06-08,27.01,139.6,69.76,15
2011-06-09,24.63,147.65,68.92,17
2011-06-10,27.54,130.23,69.03,16
2011-06-11,27.79,102.36,70.95,16
2011-06-12,26.1,132.7,72.6,19
2011-06-13,28.54,97.67,70.99,14
2011-06-14,27.13,129.11,72.82,15
2011-06-15,27.99,74.46,66.0,16
2011-06-16,25.27,142.21,69.12,15
2011-06-17,24.36,155.71,69.54,18
2011-06-18,26.59,83.02,63.01,16
2011-06-19,27.97,80.38,62.8,11
2011-06-20,26.32,85.98,61.69,14
2011-06-21,27.36,135.51,58.32,15
2011-06-22,26.78,93.09,62.29,14
2011-06-23,28.2,113.17,63.72,21
2011-06-24,24.0,114.08,50.91,15
2011-06-25,29.49,101.91,67.28,16
2011-06-26,25.53,119.85,58.87,14
2011-06-27,26.16,70.48,71.92,14
2011-06-28,26.52,125.45,60.68,14
2011-06-29,23.96,108.48,62.27,13
2011-06-30,23.71,108.83,57.44,15
2011-07-01,25.2,74.67,68.62,12
2011-07-02,25.56,115.6,68.11,14
2011-07-03,27.09,142.23,49.57,15
2011-07-04,24.82,101.41,50.44,11
2011-07-05,23.69,92.23,60.17,16
2011-07-06,23.6,99.12,57.11,12
2011-07-07,26.24,68.86,50.8,13
2011-07-08,23.74,125.53,55.75,20
2011-07-09,23.63,124.16,54.37,14
2011-07-10,23.58,94.56,51.24,13
2011-07-11,23.23,121.12,56.56,13
2011-07-12,23.89,100.7,48.12,16
2011-07-13,23.21,104.25,57.45,16
2011-07-14,26.72,59.72,52.62,12
2011-07-15,23.38,91.89,55.79,13
2011-07-16,24.89,90.31,54.99,13
2011-07-17,23.14,114.81,55.94,14
2011-07-18,22.7,82.76,57.43,20
2011-07-19,24.46,91.26,59.28,15
2011-07-20,22.38,90.0,58.82,16
2011-07-21,26.48,94.89,50.12,14
2011-07-22,21.35,70.18,45.9,11
2011-07-23,21.59,51.48,46.08,15
2011-07-24,22.37,98.54,53.14,13
2011-07-25,21.61,55.16,48.76,11
2011-07-26,21.43,102.83,52.37,13
2011-07-27,22.93,87.8,45.26,10
2011-07-28,22.82,112.65,47.71,17
2011-07-29,21.8,46.94,58.4,13
2011-07-30,21.59,113.76,46.37,16
2011-07-31,24.44,84.78,47.28,13
2011-08-01,21.05,63.81,50.41,9
2011-08-02,22.42,79.1,55.65,13
2011-08-03,22.13,104.24,52.61,12
2011-08-04,22.79,89.28,51.82,13
2011-08-05,21.67,70.02,47.29,11
2011-08-06,22.92,36.67,42.35,9
2011-08-07,20.44,43.67,47.17,11
2011-08-08,24.47,71.75,53.34,11
2011-08-09,23.29,25.07,46.63,9
2011-08-10,20.1,50.56,46.82,9
2011-08-11,21.04,86.31,43.72,14
2011-08-12,22.2,70.7,43.26,16
2011-08-13,22.62,83.95,50.01,10
2011-08-14,23.37,83.46,38.22,12
2011-08-15,21.93,72.38,44.86,12
2011-08-16,20.76,53.78,46.04,15
2011-08-17,22.57,49.28,47.32,9
2011-08-18,20.91,84.32,52.24,14
2011-08-19,21.64,69.11,48.52,10
2011-08-20,18.11,34.99,46.37,10
2011-08-21,21.35,53.05,35.31,15
2011-08-22,20.64,24.52,35.32,11
2011-08-23,20.78,72.45,44.8,10
2011-08-24,21.23,83.26,45.72,12
2011-08-25,19.5,88.05,38.35,11
2011-08-26,21.3,45.92,45.22,14
2011-08-27,21.89,47.05,32.8,14
2011-08-28,20.88,56.25,46.54,10
2011-08-29,19.95,95.95,50.6,13
2011-08-30,22.89,48.96,38.5,12
2011-08-31,19.1,45.86,49.84,10
2011-09-01,21.28,85.14,44.6,12
2011-09-02,20.68,77.92,44.41,14
2011-09-03,19.58,33.14,43.55,8
2011-09-04,20.07,51.06,35.14,10
2011-09-05,19.5,72.29,44.67,10
2011-09-06,18.9,84.83,41.12,18
2011-09-07,18.66,0.0,42.34,10
2011-09-08,19.48,68.34,41.28,9
2011-09-09,20.58,23.66,35.78,12
2011-09-10,19.44,51.59,40.6,9
2011-09-11,19.69,36.42,43.69,10
2011-09-12,20.13,86.9,37.34,12
2011-09-13,20.61,45.39,40.53,12
2011-09-14,19.26,38.6,41.68,9
2011-09-15,20.28,31.86,45.24,10
2011-09-16,19.51,47.52,37.78,15
2011-09-17,22.98,98.69,37.51,15
2011-09-18,19.15,61.33,39.83,12
2011-09-19,18.41,38.25,46.43,9
2011-09-20,20.05,38.83,38.58,9
2011-09-21,17.49,85.28,35.69,14
2011-09-22,19.33,51.7,35.18,10
2011-09-23,16.15,21.63,42.65,11
2011-09-24,21.6,73.41,41.1,11
2011-09-25,19.15,68.27,34.72,14
2011-09-26,19.57,59.07,30.0,9
2011-09-27,22.98,39.19,41.45,9
2011-09-28,20.43,42.49,45.63,8
2011-09-29,19.36,56.31,34.44,9
2011-09-30,21.6,34.75,41.71,10
2011-10-01,21.0,40.23,40.69,13
2011-10-02,20.49,29.81,40.83,11
2011-10-03,20.61,33.38,38.47,8
2011-10-04,19.47,75.15,35.74,14
2011-10-05,17.58,35.65,33.73,11
2011-10-06,19.49,74.06,43.72,17
2011-10-07,21.09,31.52,35.57,10
2011-10-08,20.39,26.08,43.02,8
2011-10-09,19.27,86.08,39.15,12
2011-10-10,22.22,61.95,34.91,11
2011-10-11,18.95,21.62,42.59,9
2011-10-12,20.26,103.85,40.27,14
2011-10-13,18.52,19.55,38.99,9
2011-10-14,20.55,48.29,35.72,11
2011-10-15,18.53,37.68,40.97,12
2011-10-16,22.63,73.3,34.2,11
2011-10-17,22.05,47.78,39.64,9
2011-10-18,18.55,28.0,37.56,11
2011-10-19,23.11,64.18,39.22,11
2011-10-20,21.66,22.2,41.46,11
2011-10-21,22.64,40.4,37.2,13
2011-10-22,18.88,70.57,43.91,14
2011-10-23,21.02,84.74,36.24,14
2011-10-24,20.43,31.87,37.78,9
2011-10-25,19.8,60.15,43.04,9
